Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-280.3336592619577,-1.0,6.980041980743408,0.998,87,0.17186212539672852
1,-220.28621027835027,-1.0,2.9704504013061523,0.996004,84,0.5468399524688721
2,-89.23297151507374,-1.0,79.89752960205078,0.994011992,68,0.6249551773071289
3,-107.9511565492835,-1.0,1.1805448532104492,0.992023968016,125,0.9374368190765381
4,-271.45696429188854,-1.0,3.124293565750122,0.990039920079968,105,0.8806750774383545
5,-282.0222353976805,-1.0,2.4481284618377686,0.9880598402398081,80,0.546837568283081
6,-192.81841623204832,-1.0,80.4060287475586,0.9860837205593285,111,0.7187004089355469
7,-175.30397326077633,-1.0,157.98704528808594,0.9841115531182099,71,0.5468385219573975
8,-262.75996682108075,-1.0,78.7816162109375,0.9821433300119734,96,0.703075647354126
9,-160.77486504866982,-1.0,1.1602058410644531,0.9801790433519495,82,0.5937082767486572
10,-407.2804438381842,-1.0,1.0148717164993286,0.9782186852652456,90,0.5780997276306152
11,-45.182990850960685,-1.0,5.026428699493408,0.976262247894715,116,0.7811822891235352
12,-211.77576267482848,-1.0,79.19204711914062,0.9743097233989256,129,0.9061868190765381
13,-110.86692783690506,-1.0,0.8178924918174744,0.9723611039521278,71,0.5937221050262451
14,-59.1255231973864,-1.0,6.302803039550781,0.9704163817442236,76,0.5312130451202393
15,-81.94726208149771,-1.0,82.85505676269531,0.9684755489807352,105,0.828068733215332
16,-113.65193664419385,-1.0,7.376391410827637,0.9665385978827737,75,0.578070878982544
17,-208.5925717738067,-1.0,86.71636962890625,0.9646055206870082,68,0.5468404293060303
18,-92.60536230386784,-1.0,1.5279566049575806,0.9626763096456342,68,0.609330415725708
19,-116.56449526450467,-1.0,15.324623107910156,0.9607509570263429,84,0.6405811309814453
20,-88.73925157108684,-1.0,6.788731098175049,0.9588294551122902,68,0.5792112350463867
21,-97.37915331797053,-1.0,1.8670718669891357,0.9569117962020657,102,0.7655563354492188
22,-221.57045506401244,-1.0,3.162630796432495,0.9549979726096616,99,1.6405160427093506
23,-352.77338678263163,-1.0,84.65103912353516,0.9530879766644422,103,0.937432050704956
24,57.64213131855543,-1.0,2.460798501968384,0.9511818007111134,1000,14.483380794525146
25,-258.72568970533496,-1.0,77.88300323486328,0.9492794371096911,106,0.9843077659606934
26,-456.0945269514502,-1.0,75.46232604980469,0.9473808782354717,112,1.1249206066131592
27,-109.03716343189211,-1.0,80.43086242675781,0.9454861164790007,74,0.7499632835388184
28,-111.19129784332158,-1.0,8.617307662963867,0.9435951442460427,129,1.3123929500579834
29,-248.02495131987584,-1.0,3.705442190170288,0.9417079539575507,89,1.0155563354492188
30,-286.76245744126425,-1.0,78.32574462890625,0.9398245380496356,92,0.9374353885650635
31,-324.984890599265,-1.0,0.5216078758239746,0.9379448889735363,97,0.9999308586120605
32,-40.13557210038722,-1.0,4.918954372406006,0.9360689991955893,139,1.7655041217803955
33,-185.45558925170894,-1.0,83.38741302490234,0.9341968611971981,61,0.7030768394470215
34,-108.56983784404902,-1.0,1.9307079315185547,0.9323284674748037,62,0.6874547004699707
35,-74.8263053707305,-1.0,1.9920058250427246,0.930463810539854,70,0.7655696868896484
36,-124.72009544400137,-1.0,0.6223573684692383,0.9286028829187744,83,0.9199392795562744
37,-420.4192419864248,-1.0,77.56346893310547,0.9267456771529368,90,1.0468037128448486
38,-239.66979033182557,-1.0,4.164188385009766,0.9248921857986309,119,1.2655372619628906
39,-269.0972286770406,-1.0,31.9122371673584,0.9230424014270336,95,0.9999315738677979
40,-440.08913349833097,-1.0,0.6190047264099121,0.9211963166241796,128,1.3124110698699951
41,-136.35726970875731,-1.0,1.1122881174087524,0.9193539239909312,110,1.1874172687530518
42,-29.468561088478396,-1.0,0.34619253873825073,0.9175152161429493,65,0.7343289852142334
43,-112.30356923630613,-1.0,0.8198115229606628,0.9156801857106633,77,0.8905642032623291
44,-190.59467218010528,-1.0,0.587158739566803,0.913848825339242,81,0.8749358654022217
45,-119.50196980240872,-1.0,3.042475938796997,0.9120211276885636,120,1.328016757965088
46,-96.51367780216722,-1.0,1.6228746175765991,0.9101970854331864,133,1.3592844009399414
47,-289.84855667684496,-1.0,9.98952579498291,0.9083766912623201,70,0.7968239784240723
48,-172.3903109032318,-1.0,2.5245158672332764,0.9065599378797955,96,1.1092948913574219
49,-144.36024813379197,-1.0,0.7681179642677307,0.9047468180040359,83,0.9374358654022217
50,-147.85253585184006,-1.0,2.987757682800293,0.9029373243680279,132,1.4217796325683594
51,-96.13381927137645,-1.0,9.261147499084473,0.9011314497192918,80,0.9061853885650635
52,-35.58622054971187,-1.0,75.92996978759766,0.8993291868198532,113,1.265538215637207
53,-425.77296557663163,-1.0,0.2971016764640808,0.8975305284462135,122,1.249913215637207
