Episode,Total Reward,Mean Reward,Train Loss,Epsilon,Actions,Training Time
0,-254.68324739728396,-1.0,79.0181884765625,0.998,91,0.19783687591552734
1,24.732264078264734,-1.0,61.185157775878906,0.996004,104,0.8774502277374268
2,-116.61626936046737,-1.0,1.982589840888977,0.994011992,106,1.1079347133636475
3,-165.27439084804757,-1.0,1.1773083209991455,0.992023968016,94,0.8247461318969727
4,-479.3509462350138,-1.0,4.10520076751709,0.990039920079968,86,0.8008580207824707
5,-302.353466381565,-1.0,2.8057641983032227,0.9880598402398081,112,1.1740844249725342
6,-125.15322331571213,-1.0,69.51275634765625,0.9860837205593285,71,0.5761852264404297
7,-174.3485841303491,-1.0,1.5351791381835938,0.9841115531182099,88,0.7342703342437744
8,-251.66678750735915,-1.0,1.8751604557037354,0.9821433300119734,93,0.838780403137207
9,-78.36083009824914,-1.0,139.0477294921875,0.9801790433519495,88,0.7707586288452148
10,-158.93277970940545,-1.0,0.7281489968299866,0.9782186852652456,81,0.5654871463775635
11,-91.33499502085468,-1.0,59.24818420410156,0.976262247894715,70,0.5013625621795654
12,-412.40457126376003,-1.0,54.369544982910156,0.9743097233989256,125,0.8885488510131836
13,-94.893443222922,-1.0,0.8853529691696167,0.9723611039521278,68,0.4936792850494385
14,-349.3218357274511,-1.0,0.3169043958187103,0.9704163817442236,95,0.6803457736968994
15,-71.14782632837672,-1.0,0.872140109539032,0.9684755489807352,84,0.5965390205383301
16,-213.24767017366304,-1.0,63.25534439086914,0.9665385978827737,104,0.7378387451171875
17,-179.19444988590664,-1.0,0.8938285708427429,0.9646055206870082,94,0.6831872463226318
18,-325.41509864737134,-1.0,0.7122008204460144,0.9626763096456342,87,0.6193432807922363
19,-123.86778171959355,-1.0,47.44039535522461,0.9607509570263429,153,1.0950701236724854
20,-161.77102161653056,-1.0,1.136710286140442,0.9588294551122902,76,0.536557674407959
21,-116.61625108379805,-1.0,0.5522587895393372,0.9569117962020657,64,0.45182347297668457
22,-101.51324450261883,-1.0,0.9914181232452393,0.9549979726096616,73,0.5272095203399658
23,-372.9916256051261,-1.0,1.2781273126602173,0.9530879766644422,93,0.6568989753723145
24,-422.06682292426706,-1.0,8.990301132202148,0.9511818007111134,104,0.7440094947814941
25,-123.03531989875951,-1.0,1.1990517377853394,0.9492794371096911,85,0.5993955135345459
